word,POS-tag
Первое,NOUN
что,PRON
хочется,VERB
сказать,VERB
",",PUNCT
так,PART
это,PART
то,SCONJ
",",PUNCT
что,SCONJ
это,PART
очень,ADV
необычный,ADJ
парк,NOUN
США,PROPN
.,PUNCT
В,ADP
этом,DET
парке,NOUN
располагаются,VERB
2,NUM
самых,ADJ
активных,ADJ
вулкана,NOUN
в,ADP
мире,NOUN
-,PUNCT
Килауэа,PROPN
и,CCONJ
Мауна-Лоа,PROPN
.,PUNCT
В,ADP
этом,DET
парке,NOUN
всегда,ADV
все,PRON
по-новому,ADV
.,PUNCT
Из-за,ADP
вулканических,ADJ
извержений,NOUN
тут,ADV
постоянно,ADV
меняется,VERB
пейзаж,NOUN
.,PUNCT
Наверное,ADV
",",PUNCT
только,ADV
в,ADP
этом,DET
месте,NOUN
понимаешь,VERB
",",PUNCT
что,PRON
такое,ADJ
природа,NOUN
",",PUNCT
а,CCONJ
что,PRON
такое,ADJ
человек,NOUN
.,PUNCT
Несмотря,VERB
на,ADP
свою,DET
вулканическую,ADJ
смертоносность,NOUN
",",PUNCT
тут,ADV
проживает,VERB
много,NUM
очень,ADV
редких,ADJ
птиц,NOUN
",",PUNCT
которые,PRON
обитают,VERB
на,ADP
уникальных,ADJ
лесах,NOUN
.,PUNCT
Также,CCONJ
только,ADV
в,ADP
этом,DET
месте,NOUN
вы,PRON
сможете,VERB
увидеть,VERB
по-настоящему,ADV
огромные,ADJ
папоротники,NOUN
.,PUNCT
Создали,VERB
этот,DET
удивительный,ADJ
парк,NOUN
в,ADP
1916,NUM
г.,NOUN
на,ADP
острове,NOUN
Гавайи,PROPN
",",PUNCT
на,ADP
самом,ADJ
крупном,ADJ
из,ADP
Гавайских,PROPN
островов,NOUN
.,PUNCT
Самым,ADJ
главным,ADJ
вулканом,NOUN
парка,NOUN
считают,VERB
вулкан,NOUN
Килауэла,PROPN
.,PUNCT
Также,CCONJ
его,PRON
считают,VERB
святым,ADJ
местом,NOUN
и,CCONJ
домом,NOUN
богини,NOUN
вулкана,NOUN
Пеле,PROPN
.,PUNCT
Раньше,ADV
гавайцы,NOUN
ходили,VERB
к,ADP
кратеру,NOUN
",",PUNCT
чтобы,SCONJ
отдать,VERB
дары,NOUN
богине,NOUN
.,PUNCT
Удивление,NOUN
и,CCONJ
благоговение,NOUN
в,ADP
мгновение,NOUN
поднятия,NOUN
заставляет,VERB
людей,NOUN
безмолвствовать,VERB
",",PUNCT
и,CCONJ
",",PUNCT
словно,SCONJ
статуи,NOUN
",",PUNCT
они,PRON
застывают,VERB
на,ADP
одном,NUM
месте,NOUN
.,PUNCT
Кальдера,NOUN
Килауэлы,PROPN
очень,ADV
похожа,ADJ
на,ADP
озеро,NOUN
кипящей,VERB
огненной,ADJ
жижи,NOUN
площадью,NOUN
"4,5",NUM
кв.м,NOUN
и,CCONJ
глубиной,NOUN
выше,ADJ
230,NUM
метров,NOUN
.,PUNCT
Кстати,ADV
",",PUNCT
Килауэла,PROPN
очень,ADV
активный,ADJ
вулкан,NOUN
.,PUNCT
Он,PRON
не,PART
может,VERB
успокоиться,VERB
еще,ADV
с,ADP
1983,NUM
года,NOUN
!,PUNCT
На,ADP
краю,NOUN
той,DET
кальдеры,NOUN
Томас,PROPN
Джеггер,PROPN
устроил,VERB
музей,NOUN
.,PUNCT
Экспонаты,NOUN
там,ADV
всё,PRON
",",PUNCT
что,PRON
имеет,VERB
отношение,NOUN
к,ADP
вулканам,NOUN
–,PUNCT
одежда,NOUN
",",PUNCT
научное,ADJ
оборудование,NOUN
",",PUNCT
используемая,VERB
вулканологами,NOUN
и,CCONJ
так,PART
далее,ADV
.,PUNCT
Из,ADP
окон,NOUN
этого,DET
музея,NOUN
вы,PRON
увидите,VERB
чудесный,ADJ
вид,NOUN
на,ADP
кальдеру,NOUN
Калауэлы,PROPN
",",PUNCT
а,CCONJ
также,PART
на,ADP
кратер,NOUN
Галемаумау,PROPN
.,PUNCT
Также,PART
в,ADP
парке,NOUN
можно,VERB
увидеть,VERB
результаты,VERB
сотен,NOUN
тысяч,NOUN
лет,NOUN
вулканической,ADJ
работы,NOUN
.,PUNCT
Красивый,ADJ
парк,NOUN
еще,PART
и,CCONJ
потому,ADV
",",PUNCT
что,SCONJ
он,PRON
охватывает,VERB
все,NUM
высоты,NOUN
–,PUNCT
начиная,VERB
уровнем,NOUN
моря,NOUN
",",PUNCT
заканчивая,VERB
вершиной,NOUN
острова,NOUN
–,PUNCT
вулкана,NOUN
Мауна,PROPN
Лоа,PROPN
.,PUNCT
Наверное,ADV
",",PUNCT
только,ADV
тут,ADV
путешественники,NOUN
имеют,VERB
поистине,VERB
уникальную,ADJ
возможность,NOUN
увидеть,VERB
своими,DET
глазами,NOUN
как,SCONJ
спящие,VERB
вулканы,NOUN
",",PUNCT
чьи,DET
склоны,NOUN
уже,ADV
покрыты,VERB
тропическими,ADJ
лесами,NOUN
",",PUNCT
так,SCONJ
и,CCONJ
достаточно,ADV
активные,ADJ
",",PUNCT
курящиеся,VERB
кратеры,NOUN
.,PUNCT
Темная,ADJ
",",PUNCT
застывшая,VERB
вулканическая,ADJ
лава,NOUN
большой,ADJ
черной,ADJ
рекой,NOUN
",",PUNCT
словно,ADV
змея,NOUN
сползает,VERB
в,ADP
океан,NOUN
",",PUNCT
преграждая,VERB
все,NUM
дороги,NOUN
",",PUNCT
и,CCONJ
образуя,VERB
причудливую,ADJ
береговую,ADJ
линию,NOUN
.,PUNCT
В,ADP
том,DET
месте,NOUN
",",PUNCT
где,PRON
лава,NOUN
попадает,VERB
в,ADP
океан,NOUN
",",PUNCT
в,ADP
воздух,NOUN
поднимается,VERB
пар,NOUN
и,CCONJ
образуются,VERB
красивые,ADJ
арки,NOUN
.,PUNCT
Кажется,VERB
",",PUNCT
как,SCONJ
будто,SCONJ
ты,PRON
стоишь,VERB
на,ADP
краю,NOUN
земли,NOUN